Year,Month,Day,Lat,Lon,Depth,Mag
2020,11,23,-22.6077,-66.0839,247.9,4.6
2020,11,20,-18.1833,-69.9993,130.9,4.5
2020,11,20,-21.9314,-68.5055,126.3,4.1
2020,11,20,-14.9984,-71.3498,151.2,4.8
2020,11,19,-20.8605,-67.3513,193,4.4
2020,11,18,-20.3162,-69.0812,101.9,4.8
2020,11,15,-23.3956,-66.7794,214,4.5
2020,11,15,-21.2436,-68.9989,127.5,4.3
2020,11,15,-20.2635,-70.9004,38.6,4.2
2020,11,14,-20.4175,-69.1073,93,5.1
2020,11,14,-20.2477,-70.7924,24,4.3
2020,11,14,-20.263,-70.8365,35,3.6
2020,11,13,-15.7579,-74.5626,67.1,4
2020,11,12,-15.682,-74.5502,52.6,4.3
2020,11,12,-15.2135,-72.4107,96.1,4.3
2020,11,11,-22.0524,-66.023,259.4,4.1
2020,11,10,-21.4681,-66.7059,222.7,4
2020,11,10,-19.2217,-67.628,234.2,4.3
2020,11,9,-22.6504,-66.3686,288.3,4
2020,11,8,-20.6794,-70.8095,10,4.2
2020,11,6,-21.1693,-68.0364,181.5,4.7
2020,11,4,-22.9694,-70.2819,43,4.2
2020,11,3,-18.6532,-69.8458,134.2,4.2
2020,11,3,-21.6173,-68.6221,139.6,4.5
2020,11,1,-19.9522,-71.0781,11.4,4.1
2020,11,1,-21.8066,-68.2013,126.3,4.3
2020,11,1,-18.6705,-69.9055,86.2,4.6
2020,11,1,-22.0559,-65.8815,253.9,4.5
2020,10,31,-21.7714,-68.5317,119.1,4.5
2020,10,30,-10.1762,-75.175,36,5.5
2020,10,30,-20.5731,-68.9759,106.1,4.1
2020,10,30,-22.9625,-66.5392,218.2,4.4
2020,10,29,-19.7109,-69.2404,123.4,4.1
2020,10,29,-17.7271,-69.8051,148.9,4.9
2020,10,28,-21.3581,-69.9184,54,4
2020,10,28,-22.8889,-66.9597,206.8,4.2
2020,10,26,-17.571,-70.9416,105.4,4.4
2020,10,26,-23.3654,-68.5115,110.9,4.4
2020,10,25,-23.2412,-68.5372,118,4.6
2020,10,25,-20.0599,-70.9121,10,4.4
2020,10,25,-20.0028,-70.9648,10,5.3
2020,10,25,-18.6242,-69.5596,118.9,4.1
2020,10,24,-17.745,-69.2529,158.4,4.2
2020,10,22,-21.3831,-69.9117,53.1,3.9
2020,10,21,-19.4899,-70.0331,12.8,4.1
2020,10,20,-18.9386,-69.2021,135.9,4.1
2020,10,20,-15.413,-73.7426,78.6,4.8
2020,10,19,-10.7872,-74.5704,50.3,4.6
2020,10,19,-19.4853,-67.8298,239.9,4.4
2020,10,19,-21.8795,-66.2395,242.9,4.2
2020,10,18,-22.927,-66.2915,228.1,4
2020,10,18,-22.082,-63.7627,537.1,4.1
2020,10,17,-16.4854,-73.4947,40.1,4.7
2020,10,17,-22.5606,-70.3519,29,4.2
2020,10,16,-20.7859,-69.0561,111.5,4.3
2020,10,13,-21.1728,-67.9931,170.9,4.2
2020,10,13,-15.2106,-71.7073,127.1,4.3
2020,10,13,-23.105,-69.3195,96.6,4.6
2020,10,12,-16.4785,-70.9327,129.5,5
2020,10,12,-21.9399,-70.0783,72.2,4.2
2020,10,12,-14.9488,-74.0514,69,4.3
2020,10,12,-20.9132,-68.9687,108.3,4.3
2020,10,11,-23.21,-69.3106,90.5,4.2
2020,10,11,-19.2998,-70.1674,57.2,3.8
2020,10,11,-14.1998,-72.9502,77.3,4.6
2020,10,9,-20.7431,-69.124,98.5,4.3
2020,10,8,-19.074,-69.4566,124.1,4.3
2020,10,6,-21.4095,-69.872,45.7,4
2020,10,6,-15.3166,-72.2307,114.9,4
2020,10,6,-20.7828,-70.1693,44.5,3.7
2020,10,5,-20.2216,-70.3195,34.1,3.7
2020,10,1,-22.5454,-66.3171,250.3,4.5
2020,10,1,-21.0306,-66.9519,254.1,4.1
2020,9,30,-19.4704,-69.3817,106,4.5
2020,9,27,-10.9015,-74.6062,46.5,4.6
2020,9,25,-20.3559,-70.0254,82.9,3.3
2020,9,23,-22.6633,-68.4387,113.7,4
2020,9,22,-21.9284,-68.7071,117.3,4
2020,9,22,-21.7972,-68.4542,126.7,4.9
2020,9,22,-14.2589,-72.8441,66.3,4
2020,9,21,-18.4945,-69.8286,103,4.1
2020,9,21,-20.9034,-68.9705,105.5,4.1
2020,9,20,-15.1691,-71.4685,137.3,4.5
2020,9,19,-21.0147,-68.6698,119.6,5
2020,9,19,-20.4101,-70.2649,66.3,3.9
2020,9,17,-22.4264,-67.5702,167.6,4.1
2020,9,17,-17.592,-69.3451,160.2,4.6
2020,9,15,-11.1172,-73.7561,56.9,4.7
2020,9,15,-22.85,-66.5432,226.2,4.2
2020,9,15,-22.9708,-66.7244,242.7,4.3
2020,9,13,-20.8322,-69.1176,119.9,4.2
2020,9,12,-20.6134,-66.6806,242.3,4.4
2020,9,12,-21.4217,-69.8344,51.4,4.4
2020,9,11,-21.3935,-69.988,47.1,4.5
2020,9,11,-21.4278,-69.9452,45.1,4.5
2020,9,11,-21.3957,-69.9093,51,6.2
2020,9,11,-20.8469,-69.0314,124,4.6
2020,9,10,-21.7066,-68.468,122,4.3
2020,9,10,-14.3886,-73.5903,67.1,4.3
2020,9,9,-23.305,-66.9163,212.4,4.2
2020,9,7,-20.7881,-67.4515,213.2,4.5
2020,9,6,-21.4826,-66.7706,226.6,4.4
2020,9,4,-23.4983,-68.6007,107.2,4.3
2020,9,3,-17.2024,-69.7582,152.1,4.2
2020,9,1,-22.9955,-66.4648,248.4,4.2
2020,8,30,-15.4217,-70.9778,10,4.4
2020,8,28,-22.8417,-66.7087,207.3,4.2
2020,8,28,-20.0066,-69.901,60.9,4.3
2020,8,27,-22.0508,-68.6823,119.6,4.2
2020,8,26,-20.8789,-70.6281,16.2,4.2
2020,8,24,-14.2079,-72.9331,51.1,4.4
2020,8,23,-20.5975,-69.8412,50,3.7
2020,8,21,-21.3835,-66.7809,211.4,4.1
2020,8,21,-19.6301,-69.6125,100.3,4
2020,8,20,-12.9908,-75.0309,84,4.2
2020,8,19,-23.1963,-66.9335,236.3,4.1
2020,8,16,-19.2434,-70.3077,61,5.2
2020,8,15,-20.1828,-70.0206,45.4,3.6
2020,8,15,-19.9614,-69.1951,97.7,4.5
2020,8,14,-15.7174,-72.1373,10,5
2020,8,14,-22.6196,-66.3129,259.3,4.1
2020,8,12,-22.922,-66.7213,254.4,4.5
2020,8,10,-21.3683,-65.706,279,4.1
2020,8,7,-21.1408,-68.5863,155.9,4.1
2020,8,6,-15.8822,-74.8971,27.6,5.5
2020,8,4,-16.7565,-71.2357,114.2,4.2
2020,8,4,-23.6342,-67.0801,225.9,4.3
2020,8,3,-20.4858,-68.873,97.5,4.9
2020,8,3,-19.5994,-69.2556,104.2,5.5
2020,8,2,-19.7947,-69.8691,30.8,3.9
2020,8,2,-21.3128,-68.7204,138,4.3
2020,8,1,-16.3434,-72.603,79.7,5.1
2020,7,31,-20.2468,-70.2832,31.3,3.1
2020,7,31,-14.1925,-72.9372,61.2,5
2020,7,30,-20.847,-68.9291,124.9,4.5
2020,7,30,-21.9155,-68.8048,121.4,4
2020,7,29,-15.6994,-74.3119,63.5,4.3
2020,7,29,-10.3324,-75.005,46.2,4.9
2020,7,29,-17.6093,-69.7789,10,4.1
2020,7,28,-16.8131,-72.4625,77.4,4.9
2020,7,28,-22.4737,-66.0453,254.1,4.3
2020,7,26,-17.5498,-69.8281,10,4.5
2020,7,26,-17.6096,-69.7437,10,4.1
2020,7,26,-17.5168,-69.8323,16.8,4.8
2020,7,26,-17.468,-69.8851,10,4.4
2020,7,26,-17.5082,-69.7816,10,4.1
2020,7,26,-17.5426,-69.8422,10,4.5
2020,7,26,-17.5587,-69.8337,15,4.3
2020,7,25,-17.5069,-69.8917,10,4.1
2020,7,25,-17.4809,-69.8895,10,4.9
2020,7,24,-20.9306,-68.8363,107.6,4.1
2020,7,24,-20.4322,-69.2008,114,4.1
2020,7,24,-16.3682,-73.8191,35,4.4
2020,7,23,-17.5738,-70.9147,109.9,4.2
2020,7,23,-22.3472,-67.1159,168.9,4.3
2020,7,22,-16.4007,-73.8964,35,4.9
2020,7,22,-21.8286,-68.7196,125.2,4.3
2020,7,21,-21.3918,-68.749,102.9,4.3
2020,7,21,-22.1976,-68.5687,121.7,4.9
2020,7,21,-19.1271,-69.5763,102.7,4.3
2020,7,21,-21.9288,-68.6582,131.3,4
2020,7,21,-20.6862,-70.1472,39.1,3.5
2020,7,20,-23.1201,-66.57,208,3.9
2020,7,20,-21.8767,-68.5665,127.3,4.1
2020,7,20,-23.3257,-68.5687,113.9,4.2
2020,7,20,-21.1953,-68.5485,132.4,4.1
2020,7,19,-20.2868,-70.1587,65.7,4.8
2020,7,19,-18.7786,-67.8614,192.6,4.6
2020,7,18,-20.7011,-70.7862,35,4.2
